Year,Coronary Heart Disease,Stroke,Heart Failure and Cardiomyopathy,Atrial Fibrillation,Peripheral Arterial ,Rheumatic Heart Disease, Congenital Heart Disease
1980,297,103.8,41.7,1.8,34.8,2.7,1.9
1981,295.3,101.6,40.9,1.9,33.7,2.4,1.9
1982,297.1,101,42.5,2.3,32.8,2.4,2
1983,279.9,87.3,39,2.6,29.7,2.1,1.9
1984,268.4,82.1,39,2.3,29.1,2.3,1.9
1985,275.8,83.1,40.8,2.7,28.4,2.4,1.9
1986,261.1,75.7,37.2,2.1,25.3,2.1,1.6
1987,255.4,73.5,37,2.4,24.8,2.1,1.4
1988,244.8,70.7,36.1,2.5,24.1,2,1.7
1989,247.7,69.2,37.6,2.5,23.9,2.1,1.5
1990,230.4,66.4,34.7,2.4,23.2,1.8,1.4
1991,217.8,63.1,33,2.9,20.6,1.8,1.4
1992,220.4,61.5,34.1,3.1,21.9,1.7,1.4
1993,201.9,60.4,32.2,3.3,19.8,1.6,1.4
1994,202.3,60.9,31.7,3.9,19.1,1.5,1.5
1995,190,58.1,29.6,4,18,1.6,1.2
1996,184.2,57.2,30.2,4.6,17.1,1.4,1.2
1997,175.4,54.9,28.4,4.1,17.1,1.9,1.3
1998,163.3,52.8,25.2,4.1,15.4,1.2,1
1999,154.1,51.3,24.1,4.3,15.7,1.4,1.2
2000,142.8,48.6,21.9,4.1,13.8,1.4,1
2001,136,45.2,19.8,3.9,13.2,1.3,1
2002,131.2,45.1,20,4.9,13,1.4,1
2003,124.9,44.1,17.5,4.3,12.2,1.4,1
2004,117.7,41.8,16.1,4.8,11.5,1.2,0.9
2005,109,37.8,15.5,4.9,10.7,1.3,0.8
2006,103.5,37.9,15.9,4.7,9.8,1.3,0.8
2007,99,37,17.4,4.9,9.4,1.1,0.8
2008,99.5,36.5,17,5.4,9.4,1.4,0.9
2009,91.5,33.2,16,5.3,8.2,1.3,0.9
2010,84.7,32.2,16.5,5,7.7,1.4,0.8
2011,81.2,33.1,16,5.2,7.2,1.4,0.7
2012,73.5,30.4,15.8,5.4,7,1.3,0.7
2013,70.5,28.6,14.9,5.9,6.3,1.4,0.8
2014,69.9,28.4,14.9,6.4,6.1,1.4,0.7
2015,67,27.9,15.1,6.9,6.2,1.5,0.6
2016,63.4,27.1,14.4,6.7,5.9,1.3,0.7
2017,61,26.3,14.3,6.6,5.7,1.3,0.6
2018,56.7,26.4,13,6.7,5.9,1.3,0.7
2019,55.1,25.5,13.5,6.4,6,1.2,0.7
2020,50.1,24.1,12.4,6.2,5.5,1.2,0.7
2021,50.5,24.2,13.3,6.6,5.5,1,0.7
2022,53,23.4,13.7,6.7,5.5,1,0.7
2023,46.9,21.9,13.7,6.4,5.2,1,0.6
2024,43.5,20.8,13.4,6,4.9,1,0.6
