population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Deaths,Australia,Both,Age-standardized,Other cardiovascular and circulatory diseases,Rate,1980,3.0873287889804595,3.2811500953883725,2.8822227046038584
All Population,Deaths,Australia,Both,Age-standardized,Cardiovascular diseases,Rate,1980,385.15248927380736,399.36922915648114,358.972466052209
All Population,Deaths,Australia,Both,Age-standardized,Rheumatic heart disease,Rate,1980,3.1993891297537282,3.468020589683542,2.8915938671697616
All Population,Deaths,Australia,Both,Age-standardized,Ischemic heart disease,Rate,1980,236.21688377072078,245.1135860773381,221.19476686974977
All Population,Deaths,Australia,Both,Age-standardized,Stroke,Rate,1980,100.63349392227528,106.53852344749033,92.65604951256785
All Population,Deaths,Australia,Both,Age-standardized,Hypertensive heart disease,Rate,1980,6.393017140898638,7.07003028349667,5.7232497276686605
All Population,Deaths,Australia,Both,Age-standardized,Cardiomyopathy and myocarditis,Rate,1980,12.84230937565631,13.742608482955742,11.795528802566908
All Population,Deaths,Australia,Both,Age-standardized,Atrial fibrillation and flutter,Rate,1980,6.720889105943605,7.196368931406715,6.066610849740095
All Population,Deaths,Australia,Both,Age-standardized,Aortic aneurysm,Rate,1980,7.797411295636301,8.36354618154476,7.239066982190421
All Population,Deaths,Australia,Both,Age-standardized,Lower extremity peripheral arterial disease,Rate,1980,3.465575953757191,3.7711425480336427,3.1389564034578665
All Population,Deaths,Australia,Both,Age-standardized,Endocarditis,Rate,1980,0.49170764987516746,0.530988011040133,0.44775105006241595
All Population,Deaths,Australia,Both,Age-standardized,Non-rheumatic valvular heart disease,Rate,1980,4.04891927638283,4.332737382403526,3.697882882576759
All Population,Deaths,Australia,Both,Age-standardized,Pulmonary Arterial Hypertension,Rate,1980,0.2555638639270704,0.31376487482157556,0.20440243524175764
All Population,Deaths,Australia,Both,Age-standardized,Pulmonary Arterial Hypertension,Rate,1981,0.2607858746178931,0.32116024153384,0.20785806300215956
All Population,Deaths,Australia,Both,Age-standardized,Other cardiovascular and circulatory diseases,Rate,1983,2.585655534245958,2.7524606902967332,2.415220534236252
All Population,Deaths,Australia,Both,Age-standardized,Other cardiovascular and circulatory diseases,Rate,1981,3.991465713680813,4.226174592242063,3.7471314857108378
All Population,Deaths,Australia,Both,Age-standardized,Other cardiovascular and circulatory diseases,Rate,1982,3.015841188867452,3.1825677351974444,2.825758384899023
All Population,Deaths,Australia,Both,Age-standardized,Cardiovascular diseases,Rate,1982,369.50116316166765,383.98476021747086,343.4333645540806
All Population,Deaths,Australia,Both,Age-standardized,Rheumatic heart disease,Rate,1982,2.8855577069314395,3.1060013854662,2.642384071286437
All Population,Deaths,Australia,Both,Age-standardized,Ischemic heart disease,Rate,1982,229.30560898573975,238.16835830668668,214.45760546020577
All Population,Deaths,Australia,Both,Age-standardized,Stroke,Rate,1982,93.68876240938845,98.82471697307206,85.60814142513898
All Population,Deaths,Australia,Both,Age-standardized,Hypertensive heart disease,Rate,1982,5.574325079834195,6.103992253317397,4.970360197841304
All Population,Deaths,Australia,Both,Age-standardized,Cardiomyopathy and myocarditis,Rate,1982,12.183554374160732,13.010952139883269,11.06598089911595
All Population,Deaths,Australia,Both,Age-standardized,Atrial fibrillation and flutter,Rate,1982,6.793018507281722,7.275387127361574,6.077917225795141
All Population,Deaths,Australia,Both,Age-standardized,Aortic aneurysm,Rate,1982,7.898308672803971,8.313642146382689,7.326877927670892
All Population,Deaths,Australia,Both,Age-standardized,Lower extremity peripheral arterial disease,Rate,1982,3.4518828288266037,3.792872691704762,3.114017810353522
All Population,Deaths,Australia,Both,Age-standardized,Endocarditis,Rate,1982,0.49840321759099465,0.5367421276457486,0.4570794177939255
All Population,Deaths,Australia,Both,Age-standardized,Cardiovascular diseases,Rate,1981,377.2774118771504,392.1462280669787,352.30868079688616
All Population,Deaths,Australia,Both,Age-standardized,Rheumatic heart disease,Rate,1981,2.9895298653055136,3.2202063456522083,2.735396763515277
All Population,Deaths,Australia,Both,Age-standardized,Ischemic heart disease,Rate,1981,236.7225755019628,245.40767215550167,221.69451697453994
All Population,Deaths,Australia,Both,Age-standardized,Stroke,Rate,1981,97.02094353490278,102.64584106263499,88.92274659224286
All Population,Deaths,Australia,Both,Age-standardized,Hypertensive heart disease,Rate,1981,5.867292652991011,6.453356810208968,5.236434938250683
